id;name;description;image_url;publish_date;status;type;total_chapter
1;Steel;Assistant;cross-platform Principal;2021-11-25T05:09:29;STOPPED;Chilean reboot Dynamic;70131
2;THX Car;Soap withdrawal;Metical Incredible;2021-11-25T00:27:41;STOPPED;transmitting New Bedfordshire;60561
3;Bedfordshire Lao neutral;Bike;Computer CFP orange;2021-11-25T11:17:18;STOPPED;mobile Vermont auxiliary;90726
4;Mexico yellow Cape;Ethiopia;Crossroad CSS;2021-11-25T09:51:18;COMPLETED;Shoes;46377
5;Intelligent;pixel methodical quantifying;rich South Forward;2021-11-24T18:29:43;COMPLETED;Computer Arizona mobile;44109
6;User-friendly Data navigate;Harbors Automotive;Checking system-worthy;2021-11-25T11:17:22;COMPLETED;Ergonomic relationships back-end;91979
7;Ukraine;Chicken Account transmit;clicks-and-mortar;2021-11-25T12:43:40;PUBLISHING;Global Industrial Concrete;67786
8;transitional;bypassing Chief interactive;online Home Vista;2021-11-25T01:15:12;COMPLETED;capacity Administrator CFA;47027
9;Ball project bypassing;non-volatile Technician;convergence moratorium Stand-alone;2021-11-25T10:02:23;PUBLISHING;calculate global Paradigm;2937
10;Loan;Small Congo Engineer;Account portals Berkshire;2021-11-25T04:44:22;COMPLETED;Belize;47745
